loss,hyperparameters,iteration,runtime,score,std
0.5757563208511003,"{'boosting_type': 'goss', 'colsample_bytree': 0.7970042404381261, 'learning_rate': 0.05945319560280438, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 30, 'num_leaves': 22, 'reg_alpha': 0.8464425307321266, 'reg_lambda': 0.858670873353676, 'subsample_for_bin': 34000, 'subsample': 1.0, 'subsample_freq': 0, 'n_estimators': 58}",38,1.773536328147634,0.42424367914889966,0.024730869472303844
0.5748121880056877,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7102739171586283, 'learning_rate': 0.11935666049367832, 'limit_max_depth': True, 'max_depth': 8, 'min_child_samples': 10, 'num_leaves': 27, 'reg_alpha': 0.7606292996306449, 'reg_lambda': 0.6532370556248108, 'subsample_for_bin': 44000, 'subsample': 0.705878905433275, 'subsample_freq': 2, 'n_estimators': 54}",39,2.499070780407851,0.4251878119943123,0.030480290753228438
0.5602081470407191,"{'boosting_type': 'dart', 'colsample_bytree': 0.5249476092273687, 'learning_rate': 0.08370858462655996, 'limit_max_depth': True, 'max_depth': 11, 'min_child_samples': 35, 'num_leaves': 25, 'reg_alpha': 0.4969923655546529, 'reg_lambda': 0.9956901374003582, 'subsample_for_bin': 18000, 'drop_rate': 0.15683845218610593, 'subsample': 0.7836702837747656, 'subsample_freq': 5, 'n_estimators': 32}",40,2.7769422955383107,0.4397918529592809,0.009697718863660745
0.5755116349455369,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6193601569742773, 'learning_rate': 0.03692118898740018, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 20, 'num_leaves': 48, 'reg_alpha': 0.6015343880184444, 'reg_lambda': 0.3590995108033976, 'subsample_for_bin': 56000, 'subsample': 0.9702417941050304, 'subsample_freq': 5, 'n_estimators': 99}",41,5.947011232034083,0.424488365054463,0.015118158992638691
0.5770319163505778,"{'boosting_type': 'goss', 'colsample_bytree': 0.5648493577093342, 'learning_rate': 0.030117436601626836, 'limit_max_depth': True, 'max_depth': 6, 'min_child_samples': 45, 'num_leaves': 39, 'reg_alpha': 0.9306855399749735, 'reg_lambda': 0.45486141023144333, 'subsample_for_bin': 70000, 'subsample': 1.0, 'subsample_freq': 0, 'n_estimators': 33}",42,1.679635291475074,0.4229680836494222,0.025567400386835994
0.5666318169008048,"{'boosting_type': 'dart', 'colsample_bytree': 0.8576107207049756, 'learning_rate': 0.2010272269051849, 'limit_max_depth': True, 'max_depth': 15, 'min_child_samples': 15, 'num_leaves': 12, 'reg_alpha': 0.9606065967799016, 'reg_lambda': 0.22457346580078555, 'subsample_for_bin': 30000, 'drop_rate': 0.3367479125009747, 'subsample': 0.9023623462528654, 'subsample_freq': 3, 'n_estimators': 86}",43,6.726397549977287,0.4333681830991952,0.014282220606669681
0.5572007375769861,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5952952974810785, 'learning_rate': 0.059067219755188714, 'limit_max_depth': True, 'max_depth': 21, 'min_child_samples': 5, 'num_leaves': 32, 'reg_alpha': 0.8551915637574709, 'reg_lambda': 0.5533010038691327, 'subsample_for_bin': 10000, 'subsample': 0.7279685639019474, 'subsample_freq': 6, 'n_estimators': 101}",44,4.820411408332779,0.44279926242301393,0.029173789449018803
0.5639239713554467,"{'boosting_type': 'goss', 'colsample_bytree': 0.5472562637267686, 'learning_rate': 0.09515667946185277, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 80, 'num_leaves': 17, 'reg_alpha': 0.4271039494770593, 'reg_lambda': 0.370428679294456, 'subsample_for_bin': 42000, 'subsample': 1.0, 'subsample_freq': 0, 'n_estimators': 102}",45,1.571091437276391,0.4360760286445533,0.027700700692381543
0.5723788582662076,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6913682787822556, 'learning_rate': 0.04722781177730374, 'limit_max_depth': True, 'max_depth': 9, 'min_child_samples': 55, 'num_leaves': 5, 'reg_alpha': 0.730362089975649, 'reg_lambda': 0.7755141912702387, 'subsample_for_bin': 50000, 'subsample': 0.9295434348289822, 'subsample_freq': 9, 'n_estimators': 233}",46,2.993117324681316,0.4276211417337924,0.020325912776960543
0.5624794308124604,"{'boosting_type': 'dart', 'colsample_bytree': 0.6299404347968234, 'learning_rate': 0.12300698127613689, 'limit_max_depth': True, 'max_depth': 25, 'min_child_samples': 35, 'num_leaves': 19, 'reg_alpha': 0.7988625021167373, 'reg_lambda': 0.08245964905497555, 'subsample_for_bin': 24000, 'drop_rate': 0.4168972207652891, 'subsample': 0.6142662218793763, 'subsample_freq': 6, 'n_estimators': 93}",47,7.81558976172837,0.43752056918753957,0.011598779387092273
